        0x401994 <start_farm>:  0xb8    0x01    0x00    0x00    0x00    0xc3    0xb8    0xfb
0x40199c <getval_142+2>:        0x78    0x90    0x90    0xc3    0x8d    0x87    0x48    0x89
0x4019a4 <addval_273+4>:        0xc7    0xc3    0xc3    0x8d    0x87    0x51    0x73    0x58
0x4019ac <addval_219+5>:        0x90    0xc3    0xc7    0x07    0x48    0x89    0xc7    0xc7
0x4019b4 <setval_237+6>:        0xc3    0xc7    0x07    0x54    0xc2    0x58    0x92    0xc3
        0x4019bc <setval_470>:  0xc7    0x07    0x63    0x48    0x8d    0xc7    0xc3    0xc7
0x4019c4 <setval_426+1>:        0x07    0x48    0x89    0xc7    0x90    0xc3    0xb8    0x29
0x4019cc <getval_280+2>:        0x58    0x90    0xc3    0xc3    0xb8    0x01    0x00    0x00
        0x4019d4 <mid_farm+4>:  0x00    0xc3    0x48    0x8d    0x04    0x37    0xc3    0xb8
0x4019dc <getval_481+1>:        0x5c    0x89    0xc2    0x90    0xc3    0xc7    0x07    0x99
0x4019e4 <setval_296+3>:        0xd1    0x90    0x90    0xc3    0x8d    0x87    0x89    0xce
0x4019ec <addval_113+4>:        0x78    0xc9    0xc3    0x8d    0x87    0x8d    0xd1    0x20
0x4019f4 <addval_490+5>:        0xdb    0xc3    0xb8    0x89    0xd1    0x48    0xc0    0xc3
        0x4019fc <setval_384>:  0xc7    0x07    0x81    0xd1    0x84    0xc0    0xc3    0x8d
0x401a04 <addval_190+1>:        0x87    0x41    0x48    0x89    0xe0    0xc3    0xc7    0x07
0x401a0c <setval_276+2>:        0x88    0xc2    0x08    0xc9    0xc3    0x8d    0x87    0x89
0x401a14 <addval_436+3>:        0xce    0x90    0x90    0xc3    0xb8    0x48    0x89    0xe0
0x401a1c <getval_345+4>:        0xc1    0xc3    0x8d    0x87    0x89    0xc2    0x00    0xc9
0x401a24 <addval_479+6>:        0xc3    0x8d    0x87    0x89    0xce    0x38    0xc0    0xc3
        0x401a2c <setval_248>:  0xc7    0x07    0x81    0xce    0x08    0xdb    0xc3    0xb8
0x401a34 <getval_159+1>:        0x89    0xd1    0x38    0xc9    0xc3    0x8d    0x87    0xc8
0x401a3c <addval_110+3>:        0x89    0xe0    0xc3    0xc3    0x8d    0x87    0x89    0xc2
0x401a44 <addval_487+4>:        0x84    0xc0    0xc3    0x8d    0x87    0x48    0x89    0xe0
0x401a4c <addval_201+5>:        0xc7    0xc3    0xb8    0x99    0xd1    0x08    0xd2    0xc3
        0x401a54 <getval_155>:  0xb8    0x89    0xc2    0xc4    0xc9    0xc3    0xc7    0x07
0x401a5c <setval_299+2>:        0x48    0x89    0xe0    0x91    0xc3    0x8d    0x87    0x89
0x401a64 <addval_404+3>:        0xce    0x92    0xc3    0xc3    0xb8    0x89    0xd1    0x08
0x401a6c <getval_311+4>:        0xdb    0xc3    0xc7    0x07    0x89    0xd1    0x91    0xc3
0x401a74 <setval_167+6>:        0xc3    0xc7    0x07    0x81    0xc2    0x38    0xd2    0xc3
        0x401a7c <setval_450>:  0xc7    0x07    0x09    0xce    0x08    0xc9    0xc3    0x8d
0x401a84 <addval_358+1>:        0x87    0x08    0x89    0xe0    0x90    0xc3    0x8d    0x87
0x401a8c <addval_124+2>:        0x89    0xc2    0xc7    0x3c    0xc3    0xb8    0x88    0xce
0x401a94 <getval_169+3>:        0x20    0xc0    0xc3    0xc7    0x07    0x48    0x89    0xe0
0x401a9c <setval_181+5>:        0xc2    0xc3    0x8d    0x87    0x89    0xc2    0x60    0xd2
0x401aa4 <addval_184+6>:        0xc3    0xb8    0x8d    0xce    0x20    0xd2    0xc3    0xc7
0x401aac <setval_350+1>:        0x07    0x48    0x89    0xe0    0x90    0xc3    0xb8    0x01
        0x401ab4 <end_farm+2>:  0x00    0x00    0x00    0xc3    0x90    0x90    0x90    0x90
                0x401abc:       0x90    0x90    0x90    0x90
